"نام مرکز درمانی
",نوع  ,خدمات,زمینه تخصصی,"سازمان
 متبوع",استان,شهر,IPD
شهداء تبریز,آموزشی، درمانی,,ارتوپدی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,Yes
اختر تهران,آموزشی، درمانی,,ارتوپدی,دانشگاه علوم پزشکی,تهران,تهران,No
شفا یحیائیان ,آموزشی، درمانی، پژوهشی,,ارتوپدی,دانشگاه علوم پزشکی,تهران,تهران,No
سید الشهدا لاهیجان,درمانی,,ارتوپدی,دانشگاه علوم پزشکی,گیلان,لاهیجان‌,No
شهید دكتر معیری ,درمانی,,ارتوپدی,سازمان تامین اجتماعی,تهران,تهران,No
174 تختخوابی یاسوج,آموزشی، درمانی,,ارتوپدی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
شهید هاشمی نژاد,آموزشی، درمانی,,ارولوژی,دانشگاه علوم پزشکی,تهران,تهران,Yes
اطفال اكبر مشهد,درمانی,,اطفال,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,Yes
حضرت علی اصغر (ع) زاهدان ,درمانی,,اطفال,دانشگاه علوم پزشکی,سیستان وبلوچستان,زاهدان‌,No
مرحوم شفیع زاده امیركلا - بابل,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,مازندران,بابل,No
كودكان تبریز,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
مركز طبی كودكان تهران,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
مركز آموزشی درمانی فوق تخصصی دكتر محمد كرمانشاهی,آموزشی، درمانی، پژوهشی,,اطفال,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
مركز آموزشی درمانی كودكان حضرت امام حسین (ع) اصفهان,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
ابوذر اهواز,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,خوزستان,اهواز,No
كودكان شهید حسین فهمیده,درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
كودكان بندر عباس,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,هرمزگان,بندرعباس‌,No
بهرامی,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
كودكان مفید,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
كودكان تهران,درمانی,,اطفال,بخش خصوصی,تهران,تهران,No
بوعلی اردبیل,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
آیت الله طالقانی گرگان,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,گلستان,گرگان‌,No
دكتر شیخ مشهد,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,خراسان رضوی,مشهد,No
حضرت علی اصغر (ع),آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,تهران,تهران,No
آیت الله  طالقانی گنبد كاووس,درمانی,,اطفال,دانشگاه علوم پزشکی,گلستان,گنبد كاووس‌,No
17 شهریور رشت,آموزشی، درمانی,,اطفال,دانشگاه علوم پزشکی,گیلان,رشت‌,No
مركز طبی كودكان بم,درمانی,,اطفال,دانشگاه علوم پزشکی,كرمان,بم‌,No
رازی تهران,آموزشی، درمانی، پژوهشی,,پوست,دانشگاه علوم پزشکی,تهران,تهران,No
سیدالشهداء (ع) جهرم,درمانی,,جراحی اعصاب,دانشگاه علوم پزشکی,فارس,جهرم‌,No
آیت اله عظمی خوئی,درمانی,,جراحی اعصاب,دانشگاه علوم پزشکی,آذربایجان غربی,خوی,No
پانزده خرداد تهران,آموزشی، درمانی,,جراحی ترمیمی,دانشگاه علوم پزشکی,تهران,تهران,No
نور البرز,درمانی,,چشم,بخش خصوصی,البرز,كرج‌,Yes
فارابی تهران,آموزشی، درمانی، پژوهشی,,چشم,دانشگاه علوم پزشکی,تهران,تهران,Yes
دكتر خدادوست شیراز,درمانی,,چشم,بخش خصوصی,فارس,شیراز,Yes
چشم پزشكی بینا,درمانی,,چشم,بخش خصوصی,تهران,تهران,Yes
